#	Isochrone	Z = 0.01900		Age = 	4.467e+09 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	9.65	1.29386997	1.2903	1.0465	3.6806	3.1706	2.154	4.293	3.542	2.517	1.963	1.472	0.785	0.237	0.178	-0.52313512
	9.65	1.29555690	1.2918	1.1081	3.6783	3.1002	2.000	4.186	3.412	2.374	1.816	1.319	0.624	0.068	0.008	-0.52221575
	9.65	1.29698253	1.2931	1.1689	3.6758	3.0300	1.848	4.084	3.285	2.235	1.671	1.169	0.465	-0.099	-0.160	-0.52144098
	9.65	1.29833400	1.2943	1.2317	3.6732	2.9573	1.691	3.979	3.156	2.093	1.521	1.014	0.300	-0.273	-0.336	-0.52070836
	9.65	1.29945505	1.2952	1.2913	3.6706	2.8876	1.542	3.885	3.035	1.959	1.379	0.867	0.142	-0.439	-0.502	-0.52010201
	9.65	1.29999995	1.2956	1.3225	3.6693	2.8511	1.464	3.836	2.972	1.889	1.305	0.790	0.060	-0.526	-0.590	-0.51980772
	9.65	1.30068898	1.2962	1.3634	3.6675	2.8032	1.362	3.773	2.890	1.798	1.209	0.689	-0.048	-0.640	-0.704	-0.51943602
	9.65	1.30161846	1.2969	1.4271	3.6645	2.7277	1.202	3.679	2.765	1.657	1.059	0.533	-0.216	-0.818	-0.884	-0.51893533
	9.65	1.30243862	1.2974	1.4874	3.6615	2.6555	1.052	3.595	2.648	1.525	0.919	0.387	-0.376	-0.987	-1.054	-0.51849423
	9.65	1.30320907	1.2978	1.5485	3.6583	2.5819	0.899	3.513	2.533	1.393	0.778	0.239	-0.537	-1.159	-1.227	-0.51808045
	9.65	1.30386245	1.2982	1.5859	3.6566	2.5379	0.805	3.458	2.460	1.310	0.691	0.149	-0.635	-1.262	-1.331	-0.51773000
	9.65	1.30466914	1.2986	1.5353	3.6596	2.6007	0.932	3.518	2.551	1.417	0.806	0.270	-0.500	-1.118	-1.185	-0.51729789
	9.65	1.30524230	1.2989	1.5967	3.6567	2.5277	0.778	3.432	2.432	1.283	0.664	0.122	-0.662	-1.289	-1.358	-0.51699125
	9.65	1.30580652	1.2991	1.6563	3.6533	2.4545	0.629	3.361	2.323	1.155	0.528	-0.021	-0.820	-1.458	-1.528	-0.51668971
	9.65	1.30636787	1.2992	1.7197	3.6498	2.3771	0.471	3.291	2.211	1.023	0.385	-0.174	-0.987	-1.639	-1.709	-0.51638999
	9.65	1.30684209	1.2992	1.7858	3.6460	2.2959	0.306	3.222	2.096	0.886	0.236	-0.333	-1.162	-1.828	-1.898	-0.51613704
	9.65	1.30725658	1.2991	1.8457	3.6427	2.2227	0.156	3.157	1.990	0.762	0.101	-0.478	-1.319	-1.999	-2.069	-0.51591613
	9.65	1.30767131	1.2988	1.9122	3.6385	2.1393	-0.011	3.097	1.879	0.627	-0.047	-0.637	-1.496	-2.193	-2.262	-0.51569525
	9.65	1.30802703	1.2985	1.9752	3.6347	2.0609	-0.168	3.037	1.773	0.499	-0.187	-0.788	-1.662	-2.374	-2.444	-0.51550593
	9.65	1.30832946	1.2980	2.0382	3.6305	1.9813	-0.325	2.986	1.670	0.373	-0.326	-0.939	-1.829	-2.558	-2.628	-0.51534506
	9.65	1.30859208	1.2974	2.0995	3.6267	1.9042	-0.479	2.944	1.574	0.254	-0.458	-1.082	-1.990	-2.734	-2.806	-0.51520544
	9.65	1.30881965	1.2967	2.1585	3.6227	1.8289	-0.626	2.917	1.493	0.147	-0.577	-1.215	-2.144	-2.905	-2.981	-0.51508451
	9.65	1.30901814	1.2959	2.2180	3.6183	1.7518	-0.775	2.899	1.416	0.043	-0.697	-1.348	-2.301	-3.081	-3.159	-0.51497908
	9.65	1.30921578	1.2948	2.2802	3.6143	1.6730	-0.931	2.867	1.327	-0.072	-0.826	-1.490	-2.464	-3.261	-3.343	-0.51487413
	9.65	1.30938601	1.2936	2.3432	3.6102	1.5932	-1.088	2.835	1.238	-0.190	-0.958	-1.634	-2.630	-3.444	-3.529	-0.51478376
	9.65	1.30953372	1.2923	2.4025	3.6064	1.5183	-1.236	2.805	1.153	-0.301	-1.083	-1.770	-2.787	-3.617	-3.705	-0.51470538
	9.65	1.30966127	1.2908	2.4599	3.6015	1.4410	-1.380	2.792	1.087	-0.395	-1.196	-1.900	-2.940	-3.791	-3.883	-0.51463771
	9.65	1.30978656	1.2889	2.5212	3.5970	1.3611	-1.533	2.725	0.997	-0.502	-1.317	-2.057	-3.103	-3.968	-4.065	-0.51457125
	9.65	1.30989420	1.2868	2.5837	3.5919	1.2773	-1.689	2.662	0.910	-0.606	-1.438	-2.217	-3.270	-4.152	-4.254	-0.51451416
	9.65	1.30999851	1.2842	2.6464	3.5869	1.1938	-1.846	2.591	0.818	-0.712	-1.561	-2.377	-3.438	-4.335	-4.443	-0.51445886
	9.65	1.31008863	1.2814	2.7080	3.5820	1.1116	-2.000	2.518	0.725	-0.818	-1.682	-2.534	-3.603	-4.516	-4.629	-0.51441108
	9.65	1.31016552	1.2783	2.7673	3.5767	1.0301	-2.148	2.452	0.641	-0.914	-1.796	-2.686	-3.762	-4.692	-4.811	-0.51437033
	9.65	1.31023312	1.2748	2.8253	3.5722	0.9528	-2.293	2.391	0.571	-0.990	-1.892	-2.827	-3.915	-4.840	-4.980	-0.51433450
	9.65	1.31030416	1.2702	2.8877	3.5663	0.8653	-2.449	2.375	0.558	-1.010	-1.948	-2.964	-4.077	-4.959	-5.158	-0.51429685
	9.65	1.31036508	1.2651	2.9488	3.5584	0.7708	-2.602	2.410	0.598	-0.977	-1.966	-3.090	-4.238	-5.062	-5.339	-0.51426458
	9.65	1.31041849	1.2595	3.0079	3.5534	0.6900	-2.750	2.379	0.570	-1.010	-2.030	-3.221	-4.390	-5.179	-5.505	-0.51423628
	9.65	1.31046784	1.2528	3.0660	3.5485	0.6099	-2.895	2.350	0.546	-1.040	-2.091	-3.350	-4.540	-5.293	-5.669	-0.51421014
	9.65	1.31050873	1.2459	3.1198	3.5408	0.5229	-3.030	2.414	0.649	-0.943	-2.050	-3.418	-4.692	-5.383	-5.845	-0.51418848
	9.65	1.31055295	1.2364	3.1816	3.5354	0.4361	-3.184	2.419	0.713	-0.882	-2.035	-3.484	-4.866	-5.508	-6.044	-0.51416506
	9.65	1.31058884	1.2267	3.2341	3.5284	0.3525	-3.315	2.492	0.862	-0.738	-1.949	-3.502	-5.024	-5.603	-6.232	-0.51414605
	9.65	1.31062484	1.2145	3.2932	3.5229	0.2666	-3.463	2.508	0.939	-0.664	-1.922	-3.559	-5.192	-5.721	-6.425	-0.51412699
	9.65	1.31065488	1.2016	3.3442	3.5156	0.1818	-3.590	2.595	1.106	-0.502	-1.822	-3.568	-5.347	-5.809	-6.611	-0.51411108
	9.65	1.31066656	1.1957	3.3621	3.5138	0.1549	-3.635	2.601	1.131	-0.478	-1.813	-3.585	-5.398	-5.845	-6.670	-0.51410489
	9.65	1.31066656	1.1956	1.6622	3.6656	2.4620	0.614	3.112	2.175	1.059	0.467	-0.056	-0.804	-1.396	-1.461	-0.51410489
	9.65	1.31101358	1.1957	1.6954	3.6630	2.4181	0.531	3.088	2.123	0.993	0.394	-0.135	-0.894	-1.496	-1.561	-0.51392119
	9.65	1.31130266	1.1958	1.7032	3.6627	2.4090	0.512	3.076	2.107	0.976	0.376	-0.154	-0.914	-1.517	-1.583	-0.51376825
	9.65	1.31148946	1.1958	1.7014	3.6628	2.4114	0.516	3.078	2.110	0.979	0.380	-0.150	-0.910	-1.512	-1.577	-0.51366946
	9.65	1.31183851	1.1959	1.6970	3.6634	2.4181	0.527	3.077	2.115	0.987	0.389	-0.140	-0.897	-1.497	-1.563	-0.51348496
	9.65	1.31218934	1.1960	1.6940	3.6638	2.4227	0.535	3.076	2.118	0.992	0.395	-0.133	-0.888	-1.487	-1.553	-0.51329963
	9.65	1.31254470	1.1962	1.6919	3.6641	2.4261	0.540	3.075	2.120	0.995	0.399	-0.128	-0.882	-1.480	-1.545	-0.51311202
	9.65	1.31290352	1.1963	1.6908	3.6643	2.4281	0.543	3.073	2.120	0.996	0.401	-0.126	-0.879	-1.476	-1.541	-0.51292272
	9.65	1.31326592	1.1964	1.6892	3.6646	2.4309	0.547	3.071	2.121	0.999	0.404	-0.122	-0.874	-1.470	-1.535	-0.51273164
	9.65	1.31362927	1.1965	1.6880	3.6648	2.4331	0.550	3.069	2.121	1.000	0.406	-0.119	-0.871	-1.466	-1.531	-0.51254019
	9.65	1.31401312	1.1967	1.6872	3.6651	2.4351	0.552	3.066	2.120	1.000	0.407	-0.118	-0.868	-1.462	-1.527	-0.51233808
	9.65	1.31439126	1.1968	1.6855	3.6656	2.4389	0.556	3.059	2.119	1.001	0.409	-0.114	-0.862	-1.455	-1.519	-0.51213911
	9.65	1.31454456	1.1968	1.6851	3.6657	2.4398	0.557	3.057	2.118	1.001	0.409	-0.114	-0.861	-1.453	-1.517	-0.51205848
	9.65	1.31503272	1.1970	1.6856	3.6660	2.4406	0.556	3.051	2.114	0.998	0.407	-0.115	-0.861	-1.452	-1.517	-0.51180188
	9.65	1.31558359	1.1972	1.6852	3.6664	2.4427	0.557	3.044	2.110	0.996	0.407	-0.115	-0.859	-1.449	-1.513	-0.51151259
	9.65	1.31613064	1.1974	1.6856	3.6666	2.4432	0.556	3.038	2.107	0.994	0.405	-0.116	-0.860	-1.448	-1.512	-0.51122559
	9.65	1.31628764	1.1974	1.6855	3.6667	2.4437	0.556	3.037	2.106	0.993	0.405	-0.116	-0.859	-1.448	-1.512	-0.51114327
	9.65	1.31667066	1.1975	1.6868	3.6667	2.4421	0.553	3.035	2.104	0.991	0.402	-0.119	-0.863	-1.451	-1.515	-0.51094255
	9.65	1.31720090	1.1977	1.6894	3.6664	2.4385	0.547	3.035	2.101	0.986	0.396	-0.125	-0.870	-1.460	-1.524	-0.51066490
	9.65	1.31774044	1.1979	1.6936	3.6663	2.4338	0.536	3.027	2.091	0.976	0.386	-0.136	-0.881	-1.471	-1.535	-0.51038265
